DocType: MAC Zone,Amended From,
DocType: Make Serial NO,Batch,
apps/make/make/make/doctype/make_serial_no/make_serial_no_list.js +11,Batch Create,
DocType: Make Batch,Batch NO,
apps/make/make/make/doctype/make_batch/make_batch.py +13,Batch NO length must be six!,
DocType: Make Batch,Batch Name,
DocType: Device License Bundle,Bundle Name,
DocType: Device License Type,Capaciity Settings,
DocType: Device License Type,Cloud Data,
DocType: Device License Type,Cloud Remote Manage,
DocType: Device License Type,Cloud Virtual Port,
apps/make/make/make/doctype/make_batch/make_batch.js +14,Count of Serial NO,
apps/make/make/make/doctype/make_batch/make_batch.js +23,Create,
apps/make/make/make/doctype/make_batch/make_batch.js +9,Create Batch Serial NO,
DocType: MAC Zone,Current Address,
DocType: Device License Type,DS Channel,
DocType: DS Plugin,DS Plugin,
DocType: Device License Type,DS Plugin Limit,
DocType: Device License Type,DS Plugin List,
DocType: Device License Type,DS Plugin Settings,
DocType: Device License Type,Data Cache,
DocType: Device License Type,Description,
DocType: Device License Type,Device Count,
DocType: Device License,Device License,
DocType: Device License Bundle,Device License Bundle,
DocType: Device License BundleDevice,Device License BundleDevice,
DocType: Device License Settings,Device License Settings,
DocType: Device License Type,Device License Type,
DocType: Device License TypeDSPlugin,Device License TypeDSPlugin,
DocType: Device License TypeIOPlugin,Device License TypeIOPlugin,
apps/make/make/license/doctype/device_license_bundle/device_license_bundle.py +17,Device SN {0} is licensed by {1},
DocType: Device License Bundle,Devices,
DocType: Device License Type,DsPlugin Count,
DocType: Device License Bundle,Enabled,
DocType: MAC Zone,End Address,
DocType: Device License,Expire Date,
DocType: Device License Type,Feature Settings,
DocType: Device License Type,GPRS Router,
apps/make/make/make/doctype/make_serial_no/make_serial_no.js +15,Get MAC,
DocType: Device License Type,History Data,
DocType: IO Plugin,IO Plugin,
DocType: Device License Type,IO Plugin Limit,
DocType: Device License Type,IO Plugin List,
DocType: Device License Type,IO Plugin Settings,
DocType: Device License Type,IO Tag Count,
DocType: Device License Bundle,Information,
DocType: Device License Type,IoPlugin Count,
DocType: Make Batch,Item,
DocType: Make Item,Item Name,
DocType: Device License Type,LEvent,
DocType: Device License,Licence Manager,
DocType: Device License,License,
DocType: Device License,License Data,
DocType: Device License,License Data Section,
DocType: Device License Settings,License Server IP,
DocType: Make ItemMAC,MAC,
DocType: Make Item,MAC Count,
DocType: Make Serial NO,MAC Section,
DocType: MAC UseZone,MAC UseZone,
DocType: MAC Zone,MAC Zone,
apps/make/make/make/doctype/make_serial_no/make_serial_no.py +25,MAC Zone is empty!,
DocType: Make Item,MAC Zones,
DocType: MAC UseZone,Make,
DocType: Make Batch,Make Batch,
DocType: Make Item,Make Item,
DocType: Make ItemMAC,Make ItemMAC,
DocType: MAC Zone,Make Manager,
DocType: Make Serial NO,Make Serial NO,
DocType: MAC Zone,Make User,
DocType: Device License Type,OPC Client,
DocType: Device License Type,OPC Server,
DocType: Device License TypeDSPlugin,Plugin,
DocType: DS Plugin,Plugin Name,
DocType: Device License,SN,
DocType: Device License Type,SWR Data,
DocType: Device License Type,SWR SMS,
DocType: Device License Type,Script Calc,
DocType: Make Batch,Serial Code,
DocType: Device License Type,Serial Count,
DocType: Device License,Source ID,
DocType: Device License,Source Settings,
DocType: Device License,Source Type,
DocType: MAC Zone,Start Address,
DocType: Device License Type,Trigger,
DocType: Device License,Type,
DocType: Device License Type,Type Name,
DocType: MAC UseZone,Zone,
DocType: MAC Zone,Zone Name,
DocType: Make Item,Zones,
